dgp,alpha,N,R,method,quantity,nominal,coverage,acd,rcd,mc_se,ci95_lo,ci95_hi,ci_method,repetitions
beta_strictly_uniform_support_probs,0.05,1000,25,fkrb,mean_2,0.9500,0.960000,+0.010000,+0.010526,0.012418,0.927947,0.978130,wilson,250
beta_strictly_uniform_support_probs,0.05,1000,25,cp_wald,theta,0.9500,0.999360,+0.049360,+0.051958,0.000318,0.998720,0.999840,bootstrap,250
beta_strictly_uniform_support_probs,0.05,1000,25,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_strictly_uniform_support_probs,0.05,1000,25,cp_wald,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_strictly_uniform_support_probs,0.05,1000,25,qlr,theta,0.9500,0.991520,+0.041520,+0.043705,0.001197,0.989280,0.993760,bootstrap,250
beta_strictly_uniform_support_probs,0.05,1000,25,qlr,mean_1,0.9500,0.996000,+0.046000,+0.048421,0.004000,0.977694,0.999294,wilson,250
beta_strictly_uniform_support_probs,0.05,1000,25,qlr,mean_2,0.9500,0.976000,+0.026000,+0.027368,0.009699,0.948638,0.988955,wilson,250
beta_strictly_uniform_support_probs,0.5,1000,25,fkrb,theta,0.5000,0.494560,-0.005440,-0.010880,0.008740,0.477752,0.512000,bootstrap,250
beta_strictly_uniform_support_probs,0.5,1000,25,fkrb,mean_1,0.5000,0.444000,-0.056000,-0.112000,0.031487,0.383720,0.505975,wilson,250
beta_strictly_uniform_support_probs,0.5,1000,25,fkrb,mean_2,0.5000,0.500000,+0.000000,+0.000000,0.031686,0.438491,0.561509,wilson,250
beta_strictly_uniform_support_probs,0.5,1000,25,cp_wald,theta,0.5000,0.916160,+0.416160,+0.832320,0.003205,0.910080,0.922400,bootstrap,250
beta_strictly_uniform_support_probs,0.5,1000,25,cp_wald,mean_1,0.5000,0.972000,+0.472000,+0.944000,0.010455,0.943342,0.986372,wilson,250
beta_strictly_uniform_support_probs,0.5,1000,25,cp_wald,mean_2,0.5000,0.840000,+0.340000,+0.680000,0.023233,0.789463,0.880246,wilson,250
beta_strictly_uniform_support_probs,0.5,1000,25,qlr,theta,0.5000,0.600640,+0.100640,+0.201280,0.008215,0.584800,0.616640,bootstrap,250
beta_strictly_uniform_support_probs,0.5,1000,25,qlr,mean_1,0.5000,0.604000,+0.104000,+0.208000,0.030993,0.542242,0.662610,wilson,250
beta_strictly_uniform_support_probs,0.5,1000,25,qlr,mean_2,0.5000,0.580000,+0.080000,+0.160000,0.031278,0.518061,0.639518,wilson,250
beta_strictly_uniform_support_probs,0.05,1000,225,fkrb,theta,0.9500,0.908071,-0.041929,-0.044136,0.003090,0.901991,0.914009,bootstrap,250
beta_strictly_uniform_support_probs,0.05,1000,225,fkrb,mean_1,0.9500,0.960000,+0.010000,+0.010526,0.012418,0.927947,0.978130,wilson,250
